Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
698dc593cc4afc5d7d03bd54,67e73cc7cf25bb683f36f62c,TIMED-OUT,Not Applicable,2026-02-12T12:21:27.427000Z,,,2026-02-12T13:08:33.100122Z,2826.0,,4730,21,Male,White,United States,United States,United States,English,Yes,Full-Time
698dc686a3f61cb58bfd9e0e,668c8323480134a3e3b9156e,RETURNED,Not Applicable,,,,2026-02-12T13:08:33.103118Z,,,2854,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698dc6e9a715d6191171ff5e,683cbc0c0c2d722831c8bc17,AWAITING REVIEW,Not Applicable,2026-02-12T12:26:23.275000Z,2026-02-12T13:01:45.776000Z,,2026-02-12T13:01:46.140443Z,2123.0,CWLQFHAM,2066,49,Female,White,United States,United States,United States,English,No,Part-Time
698dc766aae1dcd5035bda2d,697dd67958db8cc58de94953,AWAITING REVIEW,Not Applicable,2026-02-12T12:28:42.995000Z,2026-02-12T12:58:10.304000Z,,2026-02-12T12:58:10.661619Z,1768.0,CWLQFHAM,223,32,Female,Mixed,United States,United States,United States,English,No,Part-Time
698dc804a844c607be2cffef,5f627a1e4b807f1aa7e35280,AWAITING REVIEW,Not Applicable,2026-02-12T12:31:03.239000Z,2026-02-12T12:54:23.148000Z,,2026-02-12T12:54:23.500651Z,1400.0,CWLQFHAM,6091,52,Female,White,United States,United States,United States,English,No,Full-Time
698dc84d94258474f4e66389,6942c1d48b8545e38cacc626,RETURNED,Not Applicable,2026-02-12T12:32:17.558000Z,,,2026-02-12T13:08:33.103552Z,,,1764,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698dc8d75ec639314a5630c5,66ef36768bc403140fa01e35,RETURNED,Not Applicable,2026-02-12T12:34:34.435000Z,,,2026-02-12T13:08:33.104703Z,,,2371,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
