Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
698e219c7dc83a0efd421399,67ad56e3094fe82ba3d60ad2,AWAITING REVIEW,Not Applicable,2026-02-12T18:53:19.602000Z,2026-02-12T19:11:46.290000Z,,2026-02-12T19:11:46.640379Z,1107.0,CWLQFHAM,795,49,Female,White,United States,United States,United States,English,No,Full-Time
698e21bd3ac87116fc3ba712,694553e6d56e27176c33daf0,AWAITING REVIEW,Not Applicable,2026-02-12T18:53:52.738000Z,2026-02-12T19:20:03.740000Z,,2026-02-12T19:20:04.100540Z,1572.0,CWLQFHAM,312,29,Female,Mixed,United States,United States,United States,English,No,Full-Time
698e22241bde0bb3edbdb356,65172c25c4118007d8a75184,RETURNED,Not Applicable,2026-02-12T18:55:32.507000Z,,,2026-02-13T15:06:22.402688Z,,,2191,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e23213cd31fbb2c4abbab,67e0658ecffaf739c0e39dc6,RETURNED,Not Applicable,2026-02-12T18:59:45.157000Z,,,2026-02-13T15:06:22.409860Z,,,1531,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e233caf9e25d0a98ea01c,6637fddf5464c05b3db40434,AWAITING REVIEW,Not Applicable,2026-02-12T19:00:12.880000Z,2026-02-12T19:32:07.017000Z,,2026-02-12T19:32:07.398820Z,1915.0,CWLQFHAM,2397,43,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
698e23af636a3de7bfcca8b9,67bc755b022467c613763798,RETURNED,Not Applicable,2026-02-12T19:02:07.793000Z,,,2026-02-13T15:06:22.401658Z,,,1623,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e23bcf9c3c2702380f163,63039610eb593962736bd104,AWAITING REVIEW,Not Applicable,2026-02-12T19:02:23.897000Z,2026-02-12T19:22:13.412000Z,,2026-02-12T19:22:13.768736Z,1190.0,CWLQFHAM,831,44,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
698e254288ae88af1043648c,67a8ef6331f586a361a8ec33,AWAITING REVIEW,Not Applicable,2026-02-12T19:09:19.919000Z,2026-02-12T19:32:33.825000Z,,2026-02-12T19:32:34.147853Z,1394.0,CWLQFHAM,5022,60,Female,White,United States,United States,United States,English,Yes,Full-Time
698e2637f374a4204213ccfa,6983549b2eeaffbc45367e23,RETURNED,Not Applicable,2026-02-12T19:15:25.311000Z,,,2026-02-13T15:06:22.401810Z,,,138,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698e263d533db53d969b4861,62c4dbae8fb1ff9cd93a3150,AWAITING REVIEW,Not Applicable,2026-02-12T19:13:04.779000Z,2026-02-12T19:30:39.279000Z,,2026-02-12T19:30:39.658332Z,1055.0,CWLQFHAM,9822,43,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
